title,,discipline both,learningResourceType,discipline wlo (weight ^2)
Gesetze am zweiseitigen Hebel,,,,
Die fünf Klassen der Wirbeltiere,,"['Berufliche Bildung', 'Deutsch']",,['Deutsch']
Akustische Bestimmung der Erdbeschleunigung,,,,
Freier Fall,,['Gesundheit'],,['Kunst']
Datenkompression am Beispiel Bild und Ton,,"['Berufliche Bildung', 'Deutsch']",['Bild'],['Mathematik']
Brüche multiplizieren mit Hilfe des Einheitsquadrats,,['Mathematik'],,
Fadenpendel,,['Politik'],,['Deutsch']
Geschwindigkeit eines Fußballs mit phyphox messen,,['Physik'],,
Rope Skipping Cards,,['Sport'],,
Kollaboratives Arbeiten im Sportunterricht mit digitalen Medien zur Entwicklung eines Sportspiels.,,['Sport'],,
Würfelbauten perspektivisch zeichnen,,['Kunst'],,['Deutsch']
Wie funktionieren Sprachnachrichten?,,,,"['Musik', 'Deutsch']"
Umfrage Medienverhalten und Auswertung Excel,,,,
Raus aus der Schule - rein ins ...(Museum?) - Projektarbeit während eines Schüleraustauschs.,,,,
Rapping Shakespeare,,['Deutsch'],,
DuckDuckGo,,['Medienbildung'],,['Medienbildung']
Dioptra,,['Mathematik'],,['Mathematik']
correct.,,"['Deutsch als Zweitsprache', 'Deutsch']",,['Deutsch als Zweitsprache']
Book Creator,,['Deutsch'],,['Deutsch']
Bettermarks,,,,
Auto Draw,,['Verkehrserziehung'],,
Tracker,,"['Informatik', 'Physik']",,['Informatik']
Adobe Spark,,,,
Snipping Tool,,,['Werkzeug'],
Christologie entdecken – Steht Jesus dem Glauben im Weg?,,,,
Tempo & Geschwindigkeit - Bewegungsanalyse mit dem Smartphone oder dem PC,,"['Deutsch als Zweitsprache', 'Physik']",,['Chemie']
Tanzende Maisstärke - Schall sichtbar machen,,,,
Next Level: Story Writing,,['Geschichte'],,
Cyberbullying,,"['Deutsch als Zweitsprache', 'Geschichte']",,
Halbwertszeit und Zerfallsgesetz bei radioaktiven Zerfällen,,['Politik'],,
What‘s the weather like today?,,['Deutsch als Zweitsprache'],,['Deutsch als Zweitsprache']
Bodenarten bestimmen,,,,
Basketball: Treffer oder nicht? Modellieren mit Parabeln,,,,
Magnetfeld einer stromdurchflossenen Spule,,['Politik'],,
Urheberrecht und Blogs erstellen,,,,
Relationale Datenbanken modellieren am Praxisbeispiel „Webshop“,,['Berufliche Bildung'],,
Isaac Newton und die Fließeigenschaften von Flüssigkeiten,,,,
Wie funktioniert eine Ampelsteuerung?,,['Berufliche Bildung'],,
Nichtnewtonsche Flüssigkeiten,,['Chemie'],,
Was bringt den Hefeteig zum Gehen?,,,,
